original sort,AssessID,Species,P1_label,Location,Region,depth_ft_colony_base,firstvisit_date,length,width,height,Surface Area (cm²),total_periods_visited,total_periods_diseased,treat_type,total_treatments,Resistance_April2021,Resistance2_April2021,%visits_diseased_total,%visits_diseased_May21-Mar22,%LiveTissueDifference_total,%LiveTissueDifference_Apr21-Mar22,date,time,process_time,disease,coresite_angle,core_location,core_heading,core_depth,Zoox_dominant,Zoox_background
77,1004,Ofra,1004,Sand,Sand,28,10/10/19,65,53,78,5988,20,6,Placebo_2b,16,2-Some,SCTLD affected,30.00%,33.30%,NA,NA,6/13/21,12:35,9,A,Vertical,US,W,29,D,NA
59,1220,Ofav1,1220,Looe,Looe,20,12/7/19,220,150,188,46766,18,7,Amox,24,2-Some,SCTLD affected,38.90%,33.30%,NA,NA,6/12/21,11:42,12,A,Vertical,MS,E,19,B,D
70,1280,Ofav1,1280,Sand,Sand,25,1/2/20,288,115,208,57396,18,11,Amox,113,1-Low,SCTLD affected,61.10%,66.70%,NA,NA,6/13/21,11:31,7,P,Vertical,LS,SW,25,B,NA
71,1332,Ofav1,1332,Sand,Sand,22,2/14/20,100,95,76,10365,16,12,Amox,47,1-Low,SCTLD affected,75.00%,66.70%,NA,NA,6/13/21,15:43,NA,P,Vertical,MS,W,21,B,C
78,1340,Ofav1,1340,Sand,Sand,29,2/14/20,163,131,139,27673,17,8,Amox,89,2-Some,SCTLD affected,47.10%,83.30%,NA,NA,6/13/21,15:33,8,P,Vertical,MS,NE,27,B,CD
72,1452,Ofav1,1452,Sand,Sand,23,10/9/19,578,520,392,306596,20,20,SK_Exp_B,1151,1-Low,SCTLD affected,100.00%,100.00%,NA,NA,6/13/21,11:02,6,P,Angle ,US,SW,15,B,NA
79,1455,Ofra,1455,Sand,Sand,25,10/9/19,107,65,78,9186,20,5,SK_Exp_B,36,2-Some,SCTLD affected,25.00%,16.70%,NA,NA,6/13/21,14:32,9,P,Vertical,MS,NW,25,D,NA
73,1463,Ofav1,1463,Sand,Sand,24,10/9/19,505,440,330,223236,20,20,SK_Exp_D,1043,1-Low,SCTLD affected,100.00%,100.00%,NA,NA,6/13/21,10:48,5,P,Angle ,US,SW,17,B,NA
80,1470,Ofra,1470,Sand,Sand,34,10/10/19,52,46,41,2774,18,2,SK_Exp_D,6,2-Some,SCTLD affected,11.10%,0.00%,NA,NA,6/13/21,15:11,9,A,Vertical,MS,S,33,D,NA
11,MC-002,Ofav1,1552,ECA,2Middle,22,7/16/19,180,170,100,26372,41,5,Amox,5,1-Low,SCTLD affected,12.20%,9.10%,-10,0,6/17/21,16:51,3,A,Vertical,LS,S,23,B,NA
10,LC-157,Ofav1,1557,ECA,2Middle,20,7/16/19,295,285,110,55724,41,20,Both,62,1-Low,SCTLD affected,48.80%,45.50%,-40,-20,6/17/21,15:15,6,P,Angle ,MS,N,17,B,NA
34,LC-055,Ofav2,1655,ECA,1North,15,7/15/19,190,190,90,27364,42,1,Amox,1,3-High,SCTLD affected,2.40%,0.00%,0,0,5/28/21,13:05,6,A,Angle ,US,S,16,B,NA
